Identificatore, Italiano, Inglese
TEMPO_AZZERAMENTO_CICLO_STOP, T.TASTO X STOP,T.TASTO X STOP  
ABILITA_VISUALIZZAZIONE_TEMPERATURA, VISUALIZZO TEMP.,VISUALIZZO TEMP.
TIPO_PAUSA, TIPO PAUSA ASCI., TIPO PAUSA ASCI.
TEMPO_GETTONE_1, TEMPO GETTONE 1, TEMPO GETTONE 1
ABILITA_GETTONIERA, USO GETTONIERA, USO GETTONIERA
ABILITA_STOP_TEMPO_CICLO, ALT.T.CICLO/ALL., ALT.T.CICLO/ALL.
TEMPO_USCITA_PAGINE, T. OUT PAGINE, T. OUT PAGINE
TIPO_VISUALIZZAZIONE_GETTONE_MONETA_CASSA, VIS.GETT/MON/CAS, VIS.GETT/MON/CAS
TEMPERATURA_MAX_1_IN, TEMP. MASSIMA T1, TEMP. MASSIMA T1
TEMPERATURA_SICUREZZA_1, TEMP.SICUREZ. T1, TEMP.SICUREZ. T1
TEMPO_ALLARME_TEMPERATURA_1, T. ALLARME T1, T. ALLARME T1
LINGUA, LINGUA IN USO, LINGUA IN USO
STRINGA_DITTA_VISUALIZZATA, LOGO IN TESTATA, LOGO IN TESTATA
ABILITA_TASTO_MENU, AB. TASTO MENU, AB. TASTO MENU
LINGUA_MAX, N.MAX.LINGUE BAN, N.MAX.LINGUE BAN
ABILITA_GAS, AB.GAS + T.VENT., AB.GAS + T.VENT.
NUMERO_GETTONI_CONSENSO, N. GETTONI CONS., N. GETTONI CONS.
ALLARME_INVERTER_OFF_ON, ALL. INV. OFF/ON, ALL. INV. OFF/ON
ALLARME_FILTRO_OFF_ON, ALL.FILTR.OFF/ON,ALL.FILTR.OFF/ON
VELOCITA_MIN_LAVORO, VEL. MIN. CESTO, VEL. MIN. CESTO
VELOCITA_MAX_LAVORO, MAX. CESTO, VEL. MAX. CESTO
ABILITA_VISUALIZZAZIONE_CICLI_TOTALI,AB.VIS.NRO CICLI, AB.VIS.NRO CICLI
NUMERO_CICLI_MANUTENZIONE,NRO CIC.MAN. x50, NRO CIC.MAN. x50
TEMPO_CADENZA_AVVISO_MANUTENZIONE,T.CADENZA AL.MAN,T.CADENZA AL.MAN
TEMPO_DURATA_AVVISO_MANUTENZIONE,T.DURATA AL.MAN,T.DURATA AL.MAN
NUMERO_TENTATIVI_RESET_GAS,NRO RESET BR.GAS, NRO RESET BR.GAS
TEMPO_ATTESA_AZZERAMENTO_CICLO,T. AZZERO CICLO, T. AZZERO CICLO
TEMPO_RESET_LINGUA,T.RITORNO LINGUA, T.RITORNO LINGUA
PERCENTUALE_VELOCITA_MIN_VENTOLA,% VEL. MIN.VENTO, % VEL. MIN.VENTO
PERCENTUALE_ANTICIPO_TEMPERATURA_VENTOLA,% ANTIC.TEMP.VEN, % ANTIC.TEMP.VEN
ABILITA_PARAMETRI_RIDOTTI,AB.PAR.MAC.RIDOT,AB.PAR.MAC.RIDOT
ABILITA_AUTOAVVIO, AB. AUTOAVVIO, AB. AUTOAVVIO
TEMPO_ATTESA_PARTENZA_CICLO,T.INIBIZ.RIL T2,T.INIBIZ.RIL T2
ABILITA_ANTIPIEGA, AB. ANTIPIEGA, AB. ANTIPIEGA
TEMPO_RITARDO_ANTIPIEGA,T.RITARDO ANTIP., T.RITARDO ANTIP.
TEMPO_MAX_ANTIPIEGA,T.MAX DURAT.ANTI, T.MAX DURAT.ANTI
TEMPO_CADENZA_ANTIPIEGA,T.CADENZA ANTIP., T.CADENZA ANTIP.
NUMERO_CICLI_MAX_ANTIPIEGA,NRO CIC.MAX ANTI, NRO CIC.MAX ANTI
TEMPO_GIRO_ANTIPIEGA,T.GIRO ANTIPIEGA, T.GIRO ANTIPIEGA
TEMPO_PAUSA_ANTIPIEGA, T.PAUSA ANTIPIE., T.PAUSA ANTIPIE
VELOCITA_ANTIPIEGA, VELOCITA' ANTIP., VELOCITA' ANTIP.
TEMPO_GETTONE_MIN_SEC,T. GETT. MIN/SEC, T. GETT. MIN/SEC
TEMPO_ALLARME_FLUSSO_ARIA,T.ALL.FLUX ARIA, T.ALL.FLUX ARIA
MODELLO_MACCHINA, MODELLO MACCHINA, MODELLO MACCHINA
SONDA_TEMPERATURA1_IN_OUT, DOVE T1  IN/OUT, DOVE T1  IN/OUT
TEMPO_AZZERAMENTO_CICLO_PAUSA, T. TASTO x PAUSA, T. TASTO x PAUSA
TEMPERATURA_MAX_1_OUT,TEMP.MAX  T1 OUT, TEMP.MAX  T1 OUT
TEMPERATURA_SICUREZZA_1_OUT,TEMP.SIC  T1 OUT, TEMP.SIC  T1 OUT
TEMPO_ANTIGELO, T.ATT. T1 BASSA, T.ATT. T1 BASSA
ABILITA_BLOCCO_NO_ARIA, AB.BLOCC.NO ARIA, AB.BLOCC.NO ARIA
TIPO_OUT_MACCHINA_OCCUPATA, TIPO OUT MAC OCC, TIPO OUT MAC OCC
ABILITA_RESET_GAS_ESTESO, AB.RESET GAS EST, AB.RESET GAS EST
TEMPERATURA_RAFFREDDO_ALLARME, TEMP.RAFFR.ALLAR, TEMP.RAFFR.ALLAR
MACCHINA_LIBERA_OFF_ON,MACC.LIB OFF/ON, MACC.LIB OFF/ON
TIPO_ASCIUGATURA_M_A, ASCIUGA MAN/AUT., ASCIUGA MAN/AUT
TEMPO_DURATA_ASCIUGATURA,T.DURATA ASCIUG., T.DURATA ASCIUG.
ABILITA_ATTESA_TEMPERATURA,AB. ATTESA TEMP., AB. ATTESA TEMP.
ABILITA_INVERSIONE_ASCIUGATURA,AB.INVERSIONE AS, AB.INVERSIONE AS
TEMPO_GIRO_ASCIUGATURA,T.GIRO CESTO ASC, T.GIRO CESTO ASC
TEMPO_PAUSA_ASCIUGATURA,T.PAUSA CESTO ASC, T.PAUSA CESTO ASC
VELOCITA_ASCIUGATURA,VELOC. CESTO ASC, VELOC. CESTO ASC
TEMPERATURA_ARIA_1, TEMP. ARIA 1, TEMP. ARIA 1
ABILITA_RAFFREDDAMENTO, AB.RAFFREDDAMEN., AB.RAFFREDDAMEN.
TIPO_RAFFREDDAMENTO_M_A, RAFFRED. MAN/AUT, RAFFRED. MAN/AUT
TEMPO_DURATA_RAFFREDDAMENTO, T.DURATA RAFFRED, T.DURATA RAFFRED
ABILITA_INVERSIONE_RAFFREDDAMENTO, AB.INVERSIONE RA, AB.INVERSIONE RA
TEMPO_GIRO_RAFFREDDAMENTO, T.GIRO CESTO RAF, T.GIRO CESTO RAF
TEMPO_PAUSA_RAFFREDDAMENTO,T.PAUSA CESTO RA, T.PAUSA CESTO RA